temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
12.17,57,1025.0,0.0,0.0,0.0,0,0,0,473.48,26.16,145.65,29.35,146.5,25.76,146.98,32.04,44.108441,49.299971,118.78578
30.8,22,1014.2,0.0,0.0,42.0,0,42,0,878.43,12.25,1.68,11.54,3.58,11.18,3.69,29.88,26.604662,28.324802,214.83155
11.33,74,1020.4,0.0,0.0,100.0,0,23,100,181.56,3.62,264.29,3.26,263.66,2.97,255.96,12.24,73.192024,66.405016,90.589587
16.26,48,1020.3,0.0,0.0,0.0,0,0,0,83.66,11.84,199.54,20.88,180.0,10.83,195.42,6.48,88.44174,73.126248,74.769041
26.73,23,1018.1,0.0,0.0,0.0,0,0,0,911.36,18.19,27.07,18.85,28.52,17.56,28.14,15.12,42.298723,32.345378,247.44021
15.19,33,1025.5,0.0,0.0,3.0,10,0,0,378.25,11.25,7.35,11.66,8.88,10.95,9.46,11.88,52.379977,76.519938,229.59298
16.01,68,1020.2,0.0,0.0,0.0,0,0,0,339.09,9.47,8.75,9.53,10.89,9.11,9.09,8.28,61.341509,55.761314,98.130985
33.91,17,1015.5,0.0,0.0,5.1,17,0,0,803.67,27.38,219.13,30.19,219.19,27.38,219.13,33.48,53.080138,43.064232,259.77191
-0.2,76,1013.2,0.0,0.0,10.0,0,0,10,193.13,42.06,6.88,44.34,7.93,41.8,7.92,55.44,43.961345,55.350563,123.20341
8.19,68,1017.2,0.0,0.0,7.0,0,0,7,284.8,23.05,268.21,27.37,268.49,23.07,267.32,31.68,38.512306,64.281054,138.32503
14.87,42,1019.1,0.0,0.0,49.0,0,49,0,60.52,5.9,52.43,12.1,337.25,7.34,78.69,16.56,87.686365,75.095935,78.07208
8.4,87,1007.3,1.5,0.0,100.0,0,100,100,109.47,19.59,20.43,22.8,21.3,19.26,20.81,25.56,61.234497,68.315246,250.4012
10.74,52,1022.8,0.0,0.0,0.0,0,0,0,0.0,10.01,217.69,11.72,227.49,10.59,215.31,10.08,99.800474,96.499211,82.615077
28.0,22,1018.7,0.0,0.0,10.0,0,10,10,854.4,14.33,168.41,15.33,170.54,14.62,170.07,14.76,27.17495,18.931826,189.64903
9.21,81,1019.4,0.0,0.0,0.0,0,0,0,0.0,6.13,229.76,1.3,146.31,6.79,237.99,2.16,84.888164,86.239645,93.477223
24.87,37,1014.5,0.0,0.0,0.0,0,0,0,548.24,9.89,10.49,10.04,14.53,10.04,14.53,8.28,48.950119,43.059915,107.08202
15.02,43,1012.6,0.0,0.0,100.0,0,0,100,289.25,9.79,306.03,9.39,302.47,8.59,303.02,19.08,66.303316,59.675734,265.71114
25.67,33,1013.1,0.0,0.0,0.0,0,0,0,819.69,11.17,1.85,10.81,1.91,10.46,3.95,16.56,26.987063,25.062603,148.33313
